idx	label	predict	radius	correct	time
61	tensor([14], dtype=torch.int32)	14	0.616	1	0:08:20.665680
62	tensor([13], dtype=torch.int32)	13	0.616	1	0:05:32.514748
63	tensor([7], dtype=torch.int32)	7	0.616	1	0:11:41.457468
64	tensor([6], dtype=torch.int32)	6	0.616	1	0:15:07.209580
65	tensor([12], dtype=torch.int32)	8	0.119	0	0:11:24.595567
66	tensor([12], dtype=torch.int32)	18	0.0398	0	0:11:24.877234
67	tensor([8], dtype=torch.int32)	8	0.373	1	0:16:13.876140
68	tensor([10], dtype=torch.int32)	1	0.453	0	0:20:42.748963
69	tensor([7], dtype=torch.int32)	7	0.616	1	0:17:26.183022
70	tensor([6], dtype=torch.int32)	6	0.616	1	0:10:37.464052
71	tensor([13], dtype=torch.int32)	13	0.616	1	0:04:54.300402
72	tensor([7], dtype=torch.int32)	7	0.616	1	0:04:54.554078
73	tensor([9], dtype=torch.int32)	18	0.133	0	0:04:54.208133
74	tensor([5], dtype=torch.int32)	1	0.508	0	0:04:54.316817
75	tensor([14], dtype=torch.int32)	14	0.407	1	0:04:54.239189
76	tensor([6], dtype=torch.int32)	6	0.616	1	0:04:54.464352
77	tensor([6], dtype=torch.int32)	6	0.616	1	0:04:55.527402
78	tensor([5], dtype=torch.int32)	5	0.0855	1	0:04:41.220868
79	tensor([11], dtype=torch.int32)	2	0.232	0	0:04:41.646921
80	tensor([12], dtype=torch.int32)	12	0.616	1	0:04:45.397949
81	tensor([9], dtype=torch.int32)	9	0.0626	1	0:04:47.391544
82	tensor([5], dtype=torch.int32)	-1	0.0	0	0:04:46.286315
83	tensor([13], dtype=torch.int32)	13	0.616	1	0:04:46.852425
84	tensor([5], dtype=torch.int32)	7	0.534	0	0:04:46.599391
85	tensor([13], dtype=torch.int32)	13	0.137	1	0:04:50.366321
86	tensor([5], dtype=torch.int32)	5	0.00168	1	0:05:29.068873
87	tensor([11], dtype=torch.int32)	11	0.616	1	0:05:43.281480
88	tensor([14], dtype=torch.int32)	14	0.616	1	0:05:20.319474
89	tensor([13], dtype=torch.int32)	13	0.616	1	0:05:30.955806
90	tensor([5], dtype=torch.int32)	5	0.616	1	0:05:01.247347
91	tensor([9], dtype=torch.int32)	11	0.616	0	0:04:10.954882
92	tensor([6], dtype=torch.int32)	7	0.187	0	0:04:12.459512
93	tensor([13], dtype=torch.int32)	13	0.589	1	0:04:08.707024
94	tensor([14], dtype=torch.int32)	1	0.419	0	0:04:27.776805
95	tensor([11], dtype=torch.int32)	11	0.524	1	0:05:16.952368
96	tensor([12], dtype=torch.int32)	8	0.159	0	0:05:03.630425
97	tensor([12], dtype=torch.int32)	1	0.616	0	0:05:31.890722
98	tensor([9], dtype=torch.int32)	-1	0.0	0	0:05:21.281461
99	tensor([10], dtype=torch.int32)	10	0.616	1	0:05:22.724351
100	tensor([11], dtype=torch.int32)	11	0.589	1	0:05:23.712616
101	tensor([8], dtype=torch.int32)	8	0.616	1	0:05:18.502091
102	tensor([8], dtype=torch.int32)	8	0.616	1	0:05:11.112491
103	tensor([8], dtype=torch.int32)	8	0.616	1	0:03:55.041452
104	tensor([12], dtype=torch.int32)	12	0.589	1	0:04:00.019810
105	tensor([11], dtype=torch.int32)	-1	0.0	0	0:04:06.689970
106	tensor([14], dtype=torch.int32)	14	0.616	1	0:04:02.851356
107	tensor([5], dtype=torch.int32)	5	0.571	1	0:04:06.763283
108	tensor([6], dtype=torch.int32)	6	0.616	1	0:04:03.699805
109	tensor([11], dtype=torch.int32)	11	0.302	1	1:55:44.463873
110	tensor([5], dtype=torch.int32)	5	0.571	1	0:45:05.252667
111	tensor([5], dtype=torch.int32)	5	0.616	1	0:06:33.386599
112	tensor([9], dtype=torch.int32)	9	0.616	1	0:05:04.921862
113	tensor([11], dtype=torch.int32)	11	0.544	1	0:08:55.993946
114	tensor([14], dtype=torch.int32)	8	0.616	0	0:11:52.047240
115	tensor([11], dtype=torch.int32)	2	0.346	0	0:08:48.309929
116	tensor([8], dtype=torch.int32)	7	0.616	0	0:07:18.732914
117	tensor([11], dtype=torch.int32)	11	0.0502	1	0:07:38.165716
118	tensor([8], dtype=torch.int32)	3	0.388	0	0:07:09.940242
119	tensor([6], dtype=torch.int32)	6	0.616	1	0:04:06.927654
120	tensor([12], dtype=torch.int32)	4	0.146	0	0:10:41.330016
121	tensor([13], dtype=torch.int32)	13	0.616	1	0:10:46.061887
122	tensor([12], dtype=torch.int32)	12	0.616	1	0:04:33.977881
123	tensor([9], dtype=torch.int32)	-1	0.0	0	0:02:31.527506
124	tensor([7], dtype=torch.int32)	7	0.616	1	0:07:04.913765
125	tensor([11], dtype=torch.int32)	11	0.0392	1	0:13:21.131944
126	tensor([8], dtype=torch.int32)	8	0.413	1	0:09:38.864203
127	tensor([10], dtype=torch.int32)	10	0.616	1	0:05:24.618016
128	tensor([10], dtype=torch.int32)	7	0.0334	0	0:07:39.768885
129	tensor([7], dtype=torch.int32)	7	0.616	1	0:10:48.901294
130	tensor([10], dtype=torch.int32)	13	0.148	0	0:09:42.486725
131	tensor([14], dtype=torch.int32)	14	0.589	1	0:04:37.158752
132	tensor([12], dtype=torch.int32)	13	0.315	0	0:03:26.167923
133	tensor([6], dtype=torch.int32)	6	0.616	1	0:11:21.954754
134	tensor([8], dtype=torch.int32)	-1	0.0	0	0:12:31.324256
135	tensor([6], dtype=torch.int32)	1	0.31	0	0:08:52.035326
136	tensor([5], dtype=torch.int32)	2	0.0574	0	0:02:55.226705
137	tensor([5], dtype=torch.int32)	12	0.616	0	0:10:39.989612
138	tensor([12], dtype=torch.int32)	5	0.214	0	0:03:09.098775
139	tensor([11], dtype=torch.int32)	2	0.571	0	0:05:31.640651
140	tensor([7], dtype=torch.int32)	7	0.616	1	0:03:02.785928
141	tensor([12], dtype=torch.int32)	13	0.472	0	0:11:45.976737
142	tensor([7], dtype=torch.int32)	7	0.589	1	0:08:53.557500
143	tensor([11], dtype=torch.int32)	6	0.616	0	0:12:38.649082
144	tensor([6], dtype=torch.int32)	6	0.616	1	0:05:54.608121
145	tensor([10], dtype=torch.int32)	10	0.616	1	0:07:33.059910
146	tensor([7], dtype=torch.int32)	7	0.616	1	0:07:26.315387
147	tensor([10], dtype=torch.int32)	1	0.433	0	0:10:14.833211
148	tensor([5], dtype=torch.int32)	1	0.426	0	0:03:10.822780
149	tensor([9], dtype=torch.int32)	9	0.38	1	0:05:57.197057
150	tensor([12], dtype=torch.int32)	12	0.616	1	0:03:58.542367
151	tensor([5], dtype=torch.int32)	18	0.183	0	0:06:51.694440
152	tensor([10], dtype=torch.int32)	-1	0.0	0	0:14:38.972343
153	tensor([10], dtype=torch.int32)	5	0.388	0	0:06:46.302456
154	tensor([9], dtype=torch.int32)	9	0.616	1	0:04:26.472337
155	tensor([14], dtype=torch.int32)	7	0.616	0	0:04:28.448875
156	tensor([7], dtype=torch.int32)	7	0.616	1	0:08:49.149762
157	tensor([7], dtype=torch.int32)	-1	0.0	0	0:15:36.378022
158	tensor([6], dtype=torch.int32)	6	0.616	1	0:13:43.471754
159	tensor([5], dtype=torch.int32)	5	0.616	1	0:06:57.348506
160	tensor([12], dtype=torch.int32)	8	0.0489	0	0:04:59.541409
161	tensor([14], dtype=torch.int32)	14	0.616	1	0:11:17.485450
162	tensor([7], dtype=torch.int32)	7	0.616	1	0:09:55.392489
